word,category,description,suggested_repetitions
COUNT,Money & Abundance,"A foundational money word — repeat when you want to draw in income, settle bills, or feel more in control of your finances.",9
BRING,Money & Abundance,"Use to call in opportunities, money, or resources that feel just out of reach.",9
GIVE,Money & Abundance,"Opens the flow of generosity and receiving — useful before donating, tipping, or asking for a raise.",9
RICH,Money & Abundance,A direct abundance booster — repeat while visualizing financial ease and security.,9
GOLD,Money & Abundance,"Associated with value, luxury, and self-worth — good for boosting confidence around money decisions.",9
ADD,Money & Abundance,"A multiplying word — use to increase whatever is already growing, including savings or income streams.",9
CASH FLOW,Money & Abundance,"Repeat when waiting on payments, invoices, or income that feels delayed.",9
ABUNDANCE,Money & Abundance,A broad prosperity word — use as a daily anchor for a mindset of 'enough and more.',9
PROFIT,Money & Abundance,"Best for entrepreneurs and freelancers before sales calls, pricing decisions, or launches.",9
BONUS,Money & Abundance,"Use when hoping for unexpected money — gifts, refunds, rebates, or surprise income.",9
RAISE,Money & Abundance,Repeat before salary negotiations or when seeking recognition for your work.,9
INVEST,Money & Abundance,Helpful before making financial decisions that require patience and long-term thinking.,9
SAVE,Money & Abundance,Supports discipline around spending and building a savings habit.,9
CIRCULATE,Money & Abundance,Reminds you that money is meant to move — useful when feeling stuck financially.,9
MAGNET,Money & Abundance,Use to feel like you're drawing money and opportunity toward you rather than chasing it.,9
OPEN,Money & Abundance,Clears blocks to receiving — good before checking your bank balance or opening mail.,9
FLOW,Money & Abundance,Encourages ease in income and expenses — use when finances feel rigid or tight.,9
SECURE,Money & Abundance,Calms financial anxiety and supports a sense of stability.,9
CLIENTS,Money & Abundance,For business owners — repeat to attract new customers or contracts.,9
SALES,Money & Abundance,"Use before pitches, listings, or marketing pushes to support momentum.",9
DEBT FREE,Money & Abundance,A motivational anchor for those working toward paying down balances.,9
WEALTH,Money & Abundance,A long-term abundance word — pairs well with gratitude practices.,9
FORTUNE,Money & Abundance,Use when hoping for a stroke of good financial luck.,9
VALUE,Money & Abundance,Helps you recognize and price your own work or products fairly.,9
EARN,Money & Abundance,Supports motivation and consistent effort toward income goals.,9
RECEIVE,Money & Abundance,Useful for people who find it easier to give than to accept help or money.,9
PAID,Money & Abundance,Repeat while waiting on outstanding payments or invoices to be settled.,9
BUDGET,Money & Abundance,Supports clarity and calm when reviewing or planning expenses.,9
OPPORTUNITY,Money & Abundance,"Use when job-hunting, networking, or open to new income paths.",9
GENEROUS,Money & Abundance,Shifts a scarcity mindset toward one of sufficiency and sharing.,9
THRIVE,Money & Abundance,A holistic word for financial and overall life growth.,9
LUCKY MONEY,Money & Abundance,Use before lottery-style or low-stakes chance-based situations.,9
STREAM,Money & Abundance,"Visualizes multiple, steady sources of income.",9
EQUITY,Money & Abundance,"Useful when working toward ownership, assets, or long-term financial goals.",9
DEAL,Money & Abundance,"Repeat before negotiations, purchases, or contract signings.",9
HARVEST,Money & Abundance,A seasonal abundance word — reaping rewards from past effort.,9
TREASURE,Money & Abundance,Use to feel a sense of hidden or untapped value in your situation.,9
PROSPER,Money & Abundance,"A steady, long-view word for sustainable financial growth.",9
REWARD,Money & Abundance,Use after completing a task to reinforce a sense of being recognized.,9
PLENTY,Money & Abundance,A simple anchor for the feeling of having more than enough.,9
TOGETHER,Love & Relationships,"A master word for unity — use to strengthen bonds, reconcile, or feel less alone.",9
LOVE,Love & Relationships,The most direct word for opening the heart — use for self-love or relational love.,9
CHARM,Love & Relationships,"Supports magnetism, attraction, and feeling at ease in romantic situations.",9
ADJUST,Love & Relationships,Use when working through compromise or adapting to a partner's needs.,9
REUNITE,Love & Relationships,For situations involving reconciliation or reconnecting with someone important.,9
BLUSH,Love & Relationships,Brings warmth and softness into a conversation — good before a heartfelt talk.,9
DEVOTION,Love & Relationships,Strengthens commitment and loyalty in a relationship.,9
HARMONY,Love & Relationships,Use when there's tension and you want to restore balance between people.,9
CHERISH,Love & Relationships,"Encourages appreciation for a partner, friend, or family member.",9
CONNECT,Love & Relationships,"Use before a date, call, or meeting where you want to build rapport.",9
SOULMATE,Love & Relationships,"For those seeking a deep, compatible romantic connection.",9
EMBRACE,Love & Relationships,Supports physical and emotional closeness.,9
FAITHFUL,Love & Relationships,Reinforces trust and loyalty within a partnership.,9
ROMANCE,Love & Relationships,Use to bring playfulness and spark back into a relationship.,9
COMPANION,Love & Relationships,Useful for those seeking friendship or partnership in life.,9
BLOOM,Love & Relationships,A gentle word for relationships that are growing and developing.,9
WARMTH,Love & Relationships,Use to soften a cold or distant dynamic with someone.,9
APPRECIATE,Love & Relationships,Helps notice and acknowledge the good in a relationship.,9
